epoch,phase,loss,accuracy,precision,recall,f1_score,lr
1,train,4.533617070928624,0.21284276292953835,0.2683940078726141,0.21284276292953835,0.1960543737167448,0.001
2,train,3.625844535046425,0.6068031933356474,0.6884780032204425,0.6068031933356474,0.5890708054148479,0.001
3,train,2.4422902322734075,0.7198195071155848,0.7470307825502732,0.7198195071155848,0.7015882635279647,0.001
4,train,1.596873063637291,0.783547379382159,0.7932936823132224,0.783547379382159,0.7697186161152094,0.001
5,train,1.142509613513781,0.8190905935439083,0.8214933776072088,0.8190905935439083,0.8109185084002876,0.001
6,train,0.8951944358478773,0.8324192988545643,0.8320099006829352,0.8324192988545643,0.8275314060428915,0.001
7,train,0.7516881119993899,0.8458174245053801,0.8459497592237423,0.8458174245053801,0.8414995245779768,0.001
8,train,0.6576147480087121,0.8573412009718847,0.8579307607795611,0.8573412009718847,0.8549020377375853,0.001
9,train,0.5878525400029334,0.8619923637625825,0.8613243735652746,0.8619923637625825,0.8589384405762246,0.001
10,train,0.531808642611161,0.8737244012495661,0.873841656440032,0.8737244012495661,0.8718303314798823,0.001
11,train,0.498639699602574,0.8786532454009025,0.878530613784662,0.8786532454009025,0.8764184798223704,0.001
12,train,0.45794394486317075,0.8855258590767094,0.8851187550841612,0.8855258590767094,0.883629704147919,0.001
13,train,0.4289822738313791,0.8929538354737938,0.8928805500364352,0.8929538354737938,0.8912055667065062,0.001
